g0	g1	g2
0.220535	0.587101	0.147255
0.913116	0.258993	0.245915
0.204612	0.477769	0.099075
0.823678	0.370255	0.324604
0.454983	0.550459	0.256133
0.980987	0.840870	0.827142
0.488208	0.304611	0.152393
0.395909	0.357579	0.136931
0.979758	0.229800	0.224596
0.635024	0.596001	0.374866
0.312034	0.309059	0.103719
0.716594	0.957923	0.699709
0.487408	0.965663	0.472761
0.789866	0.123102	0.100155
0.648017	0.336914	0.198130
0.257144	0.318616	0.081713
0.978761	0.526506	0.514852
0.219925	0.323321	0.071991
0.636102	0.860813	0.538990
0.169472	0.518736	0.062873
0.527661	0.486514	0.246134
0.611533	0.384724	0.228692
0.087850	0.190804	0.041378
0.622609	0.505723	0.316382
0.687704	0.614533	0.402231
0.582314	0.891939	0.520818
0.281645	0.623977	0.168576
0.250846	0.676639	0.173401
