g0	g1	g2
0.187918	0.467910	0.106088
0.113236	0.449167	0.066254
0.689681	0.447421	0.399254
0.886192	0.557792	0.398933
0.279224	0.427877	0.153070
0.690829	0.690714	0.216089
0.606042	0.035221	0.587831
0.060974	0.543944	0.029017
0.168593	0.507917	0.080857
0.913318	0.468025	0.476551
0.765949	0.973561	0.022657
0.216804	0.727371	0.058833
0.936416	0.700486	0.280801
0.690928	0.515391	0.328246
0.932143	0.337711	0.620589
0.277999	0.107630	0.234048
0.022704	0.697879	0.001040
0.921464	0.541870	0.409812
0.449268	0.043587	0.394477
0.419269	0.074629	0.393148
0.695356	0.717019	0.200203
0.372557	0.661852	0.147358
0.415514	0.524683	0.202025
0.321831	0.446253	0.183044
0.804784	0.066302	0.752040
0.419909	0.744757	0.109587
0.784619	0.361155	0.509074
0.697388	0.205344	0.560469
0.500738	0.948737	0.016863
0.618913	0.555495	0.282886
0.497259	0.357893	0.311500
0.528988	0.164291	0.445248
0.770191	0.785148	0.165047
0.030362	0.847700	0.004521
0.663835	0.953696	0.051395
0.273989	0.111044	0.255549
0.421774	0.252125	0.293438
0.036200	0.033633	0.026673
0.525153	0.892920	0.039765
0.355660	0.037910	0.337449
0.967397	0.662580	0.342021
0.591713	0.219559	0.464504
0.418438	0.243745	0.326822
0.751128	0.885036	0.090410
0.686362	0.790218	0.133847
0.907872	0.224283	0.712585
0.972641	0.736107	0.256336
0.726259	0.139168	0.614100
0.412651	0.302827	0.284545
0.990003	0.657803	0.330170
0.535660	0.713897	0.156958
0.559253	0.611185	0.199832
0.867020	0.136624	0.739569
0.019276	0.984960	0.007971
0.123097	0.195246	0.101317
0.808300	0.123436	0.713959
0.547939	0.627712	0.211710
0.400203	0.618673	0.142927
0.575352	0.371660	0.349752
0.818692	0.047902	0.747548
0.670035	0.480088	0.347962
0.140174	0.062993	0.136664
0.490671	0.185760	0.402352
0.120248	0.568018	0.044643
0.537020	0.483467	0.273996
0.110968	0.445289	0.077642
0.658215	0.309040	0.447944
0.654871	0.274580	0.481993
0.220535	0.587101	0.108837
0.913116	0.258993	0.686050
0.204612	0.477769	0.108173
0.823678	0.370255	0.538341
0.454983	0.550459	0.210217
0.980987	0.840870	0.158364
0.488208	0.304611	0.343174
0.395909	0.357579	0.249703
0.979758	0.229800	0.754056
0.635024	0.596001	0.252941
0.312034	0.309059	0.222879
0.716594	0.957923	0.043420
0.487408	0.965663	0.018825
0.789866	0.123102	0.695553
0.648017	0.336914	0.409495
0.257144	0.318616	0.174996
0.978761	0.526506	0.462966
0.219925	0.323321	0.149703
0.636102	0.860813	0.079963
0.169472	0.518736	0.056523
0.527661	0.486514	0.260366
0.611533	0.384724	0.369682
0.087850	0.190804	0.095704
0.622609	0.505723	0.309256
0.687704	0.614533	0.244701
0.582314	0.891939	0.064355
0.281645	0.623977	0.098742
0.250846	0.676639	0.084783
