"Time"	csiR	csiD	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA
3900	0.6104604	0.0449741	0.7374999	0.5186527	0.4770334	0.5895086	0.2638534	0.4155694	0.7307107	0.7034100
3950	0.6978498	0.0768734	0.7038880	0.4822910	0.6069992	0.5333859	0.2441931	0.4684021	0.7428608	0.6883549
4000	0.8715126	0.0544547	0.6190240	0.6075354	0.4859206	0.5093438	0.2155688	0.4342054	0.6431131	0.6456452
4050	0.6897725	0.0465783	0.7105258	0.5510442	0.6338905	0.5712226	0.1929786	0.5051447	0.5808988	0.7404757
4100	0.6901428	0.0404775	0.6797900	0.5499601	0.5181842	0.5427038	0.2869344	0.4517801	0.5915107	0.7727412
4150	0.7006913	0.0712061	0.6950450	0.6663166	0.5254267	0.5313607	0.2209703	0.3289962	0.7840401	0.9250788
4200	0.7111955	0.0483571	0.5639535	0.5215484	0.4909817	0.5393236	0.1832711	0.3517945	0.7361825	0.6833934
4250	0.6157964	0.0439541	0.6780748	0.5132643	0.5629161	0.5416582	0.2302052	0.4147721	0.6176955	0.6824254
4300	0.8260603	0.0317642	0.6951735	0.6119696	0.5865723	0.6418540	0.2849394	0.3876422	0.7785837	0.8169288
4350	0.6112168	0.0505014	0.7145201	0.5305774	0.4942823	0.6364400	0.2255703	0.3179408	0.5877437	0.6720826
4400	0.6389060	0.0459905	0.6512335	0.5886045	0.5349167	0.5455989	0.3388266	0.3411702	0.5979684	0.7553926
4450	0.6443799	0.1177565	0.6365987	0.6024631	0.5474084	0.6913974	0.2238058	0.5012775	0.5651835	0.7156184
4500	0.6422493	0.0439445	0.5073906	0.5401421	0.6305325	0.5519598	0.2787242	0.4325353	0.7020337	0.7222221
4550	0.5779232	0.0489923	0.6916919	0.4820172	0.4891208	0.5162268	0.2397772	0.3052831	0.6674849	0.7311481
4600	0.6590397	0.0761207	0.7311261	0.6354253	0.5842568	0.6199023	0.2122016	0.3652594	0.6839054	0.7488535
4650	0.7152826	0.0763057	0.6369540	0.4452303	0.5450847	0.5918725	0.2664986	0.3015246	0.6627577	0.7027127
4700	0.6472315	0.0496362	0.6561218	0.6485941	0.5583835	0.5550962	0.2986161	0.3505352	0.6657813	0.7859423
4750	0.6751740	0.0422731	0.7966385	0.5381467	0.5183499	0.5336542	0.2282224	0.3542212	0.6600243	0.6845855
4800	0.7485524	0.0212912	0.6324700	0.7402935	0.5534712	0.5263387	0.3392326	0.3512114	0.7104071	0.8736126
4850	0.7021515	0.0309895	0.6625203	0.6026861	0.6082520	0.5423671	0.3188585	0.4313661	0.7247909	0.6541094
4900	0.7184957	0.0224060	0.7656577	0.5796238	0.5019721	0.4797804	0.2119804	0.4141462	0.6852150	0.6587137
4950	0.6744969	0.0467522	0.6261827	0.5139288	0.4701310	0.4842671	0.3052183	0.3059736	0.6144237	0.5976693
5000	0.6484361	0.0456941	0.6870236	0.5673051	0.4720771	0.5917909	0.2519371	0.2753678	0.6633731	0.6943829
5050	0.8427337	0.0519462	0.3601592	0.4743529	0.4131630	0.2380966	0.7450613	0.2981984	0.6480941	0.7084044
5100	0.6792521	0.0407146	0.2165931	0.3357769	0.4573556	0.1945856	0.6102999	0.3458906	0.6701177	0.7448581
5150	0.5188342	0.0316893	0.1949208	0.2961166	0.4041158	0.2405923	0.7267254	0.2914892	0.5236323	0.6828994
5200	0.6040940	0.0282803	0.1427981	0.2042556	0.2799393	0.2252045	0.6560919	0.2306137	0.6251270	0.6739848
5250	0.6224563	0.0450027	0.1637019	0.1926001	0.2907917	0.1678279	0.7781298	0.3115500	0.6529146	0.6567193
5300	0.7103276	0.0275413	0.1292415	0.1035877	0.2629092	0.1894480	0.6757409	0.2773790	0.5732836	0.8523494
5350	0.6428088	0.0499451	0.1711132	0.0992962	0.3035717	0.1948109	0.6376493	0.3381518	0.6274771	0.7513377
5400	0.8329307	0.0286679	0.1873207	0.1356287	0.2633579	0.1769082	0.7808311	0.3769160	0.6164550	0.7184751
5450	0.7952358	0.0477926	0.1611284	0.1079984	0.3108480	0.2355706	0.6851123	0.3713090	0.8085269	0.6011914
5500	0.6410251	0.0402038	0.1620023	0.0771658	0.3781879	0.1794828	0.6446886	0.3250498	0.6335127	0.8226345
5550	0.7341534	0.0717936	0.1903035	0.1945853	0.2662538	0.2150203	0.6686813	0.3006726	0.5978753	0.7819287
5600	0.6167312	0.0600541	0.1751167	0.1316907	0.2696801	0.1616491	0.7426527	0.2471777	0.5589147	0.8041546
5650	0.6921967	0.0490598	0.1532130	0.1243464	0.3184392	0.1654317	0.8493017	0.3711865	0.6323063	0.7980096
5700	0.7020636	0.0438743	0.1853007	0.1493762	0.2909875	0.2342169	0.6939458	0.2587202	0.5179044	0.7550506
5750	0.5876374	0.0296042	0.1661195	0.2035837	0.3614990	0.2677035	0.6901899	0.3727969	0.7264505	0.6998430
5800	0.7352413	0.0286743	0.1946632	0.1343692	0.3687307	0.2257877	0.6747539	0.3068890	0.5573297	0.6412833
5850	0.6625249	0.0181105	0.1825865	0.1552943	0.3368849	0.1633464	0.7345688	0.3136824	0.6890115	0.6840302
5900	0.7341087	0.0298456	0.1274059	0.0856915	0.2727366	0.1743629	0.7757270	0.4238316	0.7069650	0.6969449
5950	0.8184216	0.0309850	0.1229323	0.1283169	0.2408313	0.1478291	0.8065478	0.2374553	0.5508401	0.7484445
6000	0.6867411	0.0193166	0.1132233	0.1492882	0.2296613	0.1439744	0.6805384	0.4040258	0.7041039	0.6600533
6050	0.5586084	0.0407067	0.1355314	0.1072810	0.2028318	0.2293492	0.8181935	0.3156629	0.5794158	0.6878474
6100	0.5881307	0.0228341	0.1746987	0.0636291	0.3313851	0.1733258	0.6696076	0.3583630	0.6328801	0.8985506
6150	0.7536606	0.0221031	0.1200552	0.0959989	0.2656416	0.1936123	0.7134186	0.3236957	0.6776243	0.7355790
6200	0.6772453	0.0246656	0.2205124	0.1168016	0.2972511	0.2396825	0.7077720	0.3576870	0.6189843	0.7059767
6250	0.7413219	0.0333238	0.1821465	0.1349431	0.3671617	0.2269201	0.8897070	0.4008095	0.7044943	0.5699745
6300	0.7530041	0.0334298	0.1899621	0.1359530	0.2850310	0.1932678	0.7383900	0.3561725	0.7205969	0.6638024
6350	0.7357439	0.0714041	0.1578998	0.0746001	0.2846958	0.2559969	0.6441153	0.2428882	0.7048431	0.6466700
6400	0.6837610	0.0619264	0.1887097	0.0869287	0.3453257	0.2557707	0.6065252	0.3796644	0.8415544	0.5800440
6450	0.7453956	0.0291792	0.1474416	0.0898048	0.2926395	0.2397401	0.6982385	0.3369167	0.6612769	0.6994646
6500	0.6751541	0.0729525	0.1439540	0.0904855	0.2414030	0.3447645	0.5898551	0.3788406	0.6024393	0.6030675
6550	0.7358121	0.0384493	0.1271104	0.1095409	0.2632438	0.2580665	0.5243568	0.4276905	0.6149928	0.8636622
6600	0.5863146	0.0138388	0.2433175	0.1206551	0.3238911	0.2279368	0.6688565	0.3999044	0.7153466	0.6981210
6650	0.7879957	0.0505683	0.2594727	0.1544955	0.2771469	0.2745800	0.6182120	0.3132402	0.5822603	0.7615229
6700	0.7282087	0.0777186	0.2233023	0.1974372	0.2853431	0.2166789	0.7615472	0.2180718	0.5956219	0.8390187
6750	0.6679882	0.0852650	0.1166568	0.1207923	0.3035565	0.1827339	0.7333688	0.2514420	0.6151922	0.7234229
6800	0.7202266	0.0290295	0.1675070	0.1163493	0.3019613	0.1936045	0.6367862	0.2903895	0.6087719	0.7174279
6850	0.7257815	0.0386726	0.1716906	0.1117195	0.2849327	0.1916216	0.6960912	0.2733447	0.6257951	0.6998010
6900	0.7784185	0.0568437	0.2118456	0.1185540	0.2656800	0.2592672	0.6661529	0.3431843	0.7550264	0.7928175
6950	0.6116369	0.0257070	0.1808511	0.0777627	0.2418418	0.2347397	0.6574997	0.3210355	0.7323526	0.6713268
7000	0.8126523	0.0199161	0.1581959	0.1328163	0.2360495	0.2513941	0.8085914	0.3295530	0.6252277	0.7477601
7050	0.7181855	0.0303724	0.2304068	0.0831530	0.2643873	0.2122040	0.6837666	0.2379254	0.7291330	0.6729549
7100	0.7271383	0.0169070	0.1445398	0.1502871	0.2124991	0.2243200	0.6318265	0.2687326	0.6607634	0.6787867
7150	0.5800189	0.0197860	0.1111733	0.1405769	0.2501249	0.1863089	0.6786869	0.2941220	0.6549193	0.7685929
7200	0.8186527	0.0186651	0.1497913	0.0825789	0.2345540	0.2766206	0.6144854	0.3257487	0.6304435	0.6736127
7250	0.6872757	0.0489704	0.1837123	0.1226719	0.2421991	0.2018836	0.8994033	0.3468648	0.5904006	0.7726582
7300	0.6670272	0.0411343	0.2391067	0.1151572	0.2578683	0.1645411	0.6786442	0.2551365	0.6770024	0.6840526
7350	0.7246306	0.0441068	0.1638361	0.0939738	0.3387396	0.2291292	0.7191317	0.2682628	0.6146144	0.7025316
7400	0.6155816	0.0319795	0.1604185	0.1700330	0.3146133	0.2025250	0.6108311	0.2642479	0.6659324	0.7106688
7450	0.6538531	0.0429186	0.2261848	0.0842948	0.2762147	0.2436791	0.6771325	0.3369175	0.7433628	0.6695599
7500	0.8308745	0.0479541	0.1657298	0.0297414	0.2284648	0.1932386	0.6259380	0.3006036	0.6654725	0.6845622
7550	0.6327723	0.0426722	0.1348265	0.1105607	0.2138876	0.1992593	0.7057804	0.3213696	0.5672595	0.6346977
7600	0.6755734	0.0479198	0.1339391	0.0893254	0.2670031	0.2462756	0.7816132	0.3383714	0.6540456	0.6769177
7650	0.6328408	0.0292851	0.1849550	0.0809128	0.2268949	0.2251228	0.7706966	0.3349498	0.6775574	0.7133915
7700	0.6880817	0.0375007	0.1396799	0.0693986	0.2781715	0.2348795	0.6121752	0.2775011	0.6191693	0.7490923
7750	0.6240547	0.0699803	0.1089511	0.1537173	0.3143474	0.1791072	0.8438334	0.3066913	0.7074972	0.6785312
7800	0.6564663	0.0352155	0.1097312	0.1051555	0.2855292	0.2553325	0.7204829	0.2214349	0.5796084	0.7083086
7850	0.7215507	0.0570543	0.1239316	0.0943693	0.2883919	0.2926419	0.6573984	0.2819027	0.4818885	0.5976450
7900	0.7483164	0.0320546	0.1137053	0.0994664	0.3439067	0.2994839	0.5342880	0.3249508	0.5747735	0.7763768
7950	0.8703967	0.0474620	0.1480573	0.0589825	0.2332306	0.3110156	0.6203847	0.2416714	0.6179875	0.8151432
8000	0.6393785	0.0301863	0.1195431	0.0923834	0.2221731	0.2409031	0.8226587	0.2727713	0.6487840	0.7389463
8050	0.7754543	0.0300772	0.1457319	0.0493285	0.2706991	0.2255418	0.8469272	0.2756947	0.6087950	0.6533815
8100	0.6158625	0.0490608	0.1309746	0.1069242	0.2397613	0.1926173	0.6669534	0.2988700	0.6924472	0.7364281
8150	0.7586416	0.0424896	0.1414645	0.0740243	0.1942342	0.2295204	0.6549744	0.3394905	0.7077052	0.8380800
8200	0.8575326	0.0332923	0.1120420	0.0665117	0.2733972	0.2081934	0.7767381	0.4363985	0.6194810	0.7306126
8250	0.6016419	0.0605693	0.1811520	0.0414132	0.2443209	0.2198575	0.6510391	0.2920959	0.5250867	0.7497454
8300	0.6905664	0.0748927	0.1414764	0.0634756	0.2129362	0.1771861	0.5996022	0.2392907	0.5983573	0.7443270
8350	0.5898911	0.0260513	0.1465978	0.0889910	0.2407996	0.1983928	0.6529808	0.3579683	0.5905312	0.7474085
8400	0.6731773	0.0521367	0.1255865	0.0611755	0.1767876	0.2012104	0.7294269	0.3828558	0.7478966	0.7868569
8450	0.5746264	0.0227636	0.1364753	0.0573813	0.2413158	0.2047747	0.7589319	0.3826774	0.6546387	0.7221964
8500	0.7259322	0.0600964	0.2161820	0.0854216	0.2597406	0.2000869	0.7324255	0.3323227	0.7120358	0.7418058
8550	0.6837149	0.0328748	0.2436161	0.0927185	0.3517430	0.2329386	0.8252600	0.3657981	0.5333788	0.7039528
8600	0.8219880	0.0118040	0.1420903	0.1410630	0.3249822	0.2227844	0.6203582	0.4748682	0.6089924	0.8322973
8650	0.6665070	0.0440488	0.2631783	0.1255168	0.2569798	0.2037273	0.6147574	0.3887280	0.6048641	0.6241426
8700	0.6853176	0.0620539	0.1789563	0.1013881	0.2953829	0.2526716	0.7663162	0.3024608	0.7013704	0.5598309
8750	0.5699058	0.0556957	0.1621862	0.0765064	0.2823685	0.2144588	0.7449528	0.3038296	0.5993535	0.8074985
8800	0.5289541	0.0484457	0.1571675	0.0906621	0.3525636	0.1988291	0.8874409	0.3537810	0.6452487	0.7022652
8850	0.7707804	0.0676095	0.1823500	0.1051492	0.3464178	0.2224068	0.7315396	0.3226123	0.6188961	0.6074001
8900	0.8609598	0.0130185	0.1181067	0.0741578	0.3333661	0.1823302	0.7659217	0.3278943	0.6459338	0.7113234
8950	0.6304079	0.0211397	0.0788329	0.0988731	0.3071199	0.2502725	0.7684544	0.3807007	0.6064423	0.7341163
9000	0.6204239	0.0260629	0.1024897	0.0789860	0.2190959	0.2196536	0.7715277	0.3635706	0.7064546	0.6465390
9050	0.7280050	0.0267008	0.1425916	0.0511009	0.2140150	0.2178694	0.6852142	0.2500889	0.5661828	0.6773844
9100	0.7381565	0.0126830	0.1777351	0.0309630	0.2482979	0.2978743	0.7744399	0.3257445	0.6778379	0.6796268
9150	0.6799724	0.0175919	0.1614009	0.0891062	0.2953688	0.1894919	0.6030077	0.2232826	0.5405187	0.7508307
9200	0.6647660	0.0432752	0.1802685	0.0517511	0.2802369	0.1938023	0.5783454	0.2460264	0.5851959	0.6283140
9250	0.6670686	0.0142666	0.1316311	0.0915121	0.2237231	0.2088115	0.7848664	0.3222109	0.7746483	0.6162744
9300	0.6677646	0.0499640	0.1133090	0.0780032	0.2004605	0.1813128	0.6973539	0.2881749	0.5732508	0.5735264
9350	0.6539282	0.0472065	0.1536937	0.1101405	0.2714054	0.2396942	0.6943610	0.2388883	0.6157346	0.7115966
9400	0.8511678	0.0433942	0.1597156	0.1188420	0.2535106	0.2033752	0.6167019	0.2746592	0.7553212	0.6650480
9450	0.7381748	0.0121487	0.1987212	0.0830734	0.3654083	0.3020472	0.8188473	0.2585689	0.6702428	0.7690807
9500	0.6406657	0.0342200	0.3055749	0.1148283	0.3219389	0.2387361	0.7121793	0.3717642	0.6102418	0.6360835
9550	0.8849035	0.0257537	0.1569583	0.1029682	0.1983624	0.1962510	0.7853797	0.2926507	0.6409835	0.8081103
9600	0.7299323	0.0229173	0.1501151	0.0677922	0.2463588	0.2989686	0.7018910	0.3605346	0.6761686	0.6785488
9650	0.6120534	0.0167034	0.1544873	0.1380203	0.4133695	0.2134397	0.7197192	0.2974907	0.6653593	0.6404043
9700	0.6952233	0.0287849	0.1643686	0.1172346	0.2811010	0.2199215	0.8516005	0.3175769	0.5674147	0.6252217
9750	0.6230355	0.0391815	0.2006027	0.0707061	0.2714595	0.1766900	0.6539690	0.3528343	0.5693216	0.6036830
9800	0.9203109	0.0357349	0.1086741	0.0895308	0.3218880	0.2448603	0.7219982	0.3388612	0.5793335	0.7239193
9850	0.7492330	0.0696488	0.1060828	0.0776799	0.2805699	0.2704748	0.7748643	0.3191389	0.6443008	0.6306458
9900	0.6535353	0.0426484	0.1603984	0.0944183	0.2012450	0.1955765	0.7714844	0.3880602	0.6006177	0.5226961
9950	0.7182199	0.0230270	0.1943079	0.1145844	0.2384738	0.2222795	0.6271582	0.2807162	0.6435798	0.5632828
10000	0.8754011	0.0316941	0.1600976	0.0735839	0.2174563	0.2183586	0.5858421	0.2157984	0.6373828	0.6716371

0	0.7649041	0.0459796	0.1926074	0.1211938	0.3315899	0.1678651	0.8318423	0.4443416	0.6890350	0.6974526
50	0.7019769	0.0463384	0.3739440	0.3325526	0.5100825	0.2556061	0.4042942	0.2617884	0.6759573	0.5896161
100	0.6239916	0.0504539	0.4406242	0.4081792	0.6468217	0.4286774	0.3924445	0.2053242	0.6706106	0.5299436
150	0.5383473	0.0479813	0.3824713	0.4584869	0.7248948	0.3381232	0.3707324	0.2292643	0.6496072	0.5621759
200	0.6176545	0.0430767	0.3887671	0.4913946	0.6397926	0.3204505	0.3302292	0.2360746	0.6039184	0.7021478
250	0.6243057	0.0585646	0.5004323	0.4894491	0.6427708	0.2329521	0.4964926	0.2782184	0.6536507	0.5550394
300	0.6194435	0.0792687	0.4578343	0.5739620	0.6551738	0.2895269	0.3519880	0.2233449	0.4966805	0.5504620
350	0.5452776	0.0545479	0.5673158	0.6306216	0.4931325	0.2576956	0.3605123	0.2044148	0.6326996	0.5480822
400	0.5220617	0.0358827	0.4642975	0.5718049	0.6420345	0.3012438	0.5089304	0.2405277	0.6583432	0.5355474
450	0.4641048	0.0549760	0.5067482	0.6335537	0.6762297	0.3227923	0.3615646	0.2217186	0.8304211	0.5562077
500	0.6325185	0.0273218	0.4948130	0.5720375	0.6464628	0.3004412	0.4052899	0.2418460	0.6324543	0.5787027
550	0.6412873	0.0266689	0.5195182	0.5922873	0.5980979	0.2617111	0.3975071	0.3231025	0.6323764	0.5955737
600	0.6252334	0.0835804	0.4783535	0.6734577	0.7449095	0.3612331	0.5214862	0.2104278	0.5853363	0.5322071
650	0.5910309	0.0575949	0.5409678	0.5979910	0.6570931	0.2733747	0.3126969	0.1697083	0.5043557	0.4855533
700	0.5600524	0.0600197	0.4357212	0.5254578	0.6556035	0.3057571	0.3913000	0.2561169	0.5724201	0.5513046
750	0.4948665	0.0534466	0.4003951	0.4680314	0.5628458	0.3366115	0.4401802	0.2594209	0.5946118	0.5392073
800	0.5875716	0.0355471	0.5368168	0.4847214	0.6085937	0.3856388	0.3339778	0.1790662	0.5323944	0.5310891
850	0.5082536	0.0517314	0.3976067	0.4675652	0.5565423	0.3146609	0.3726927	0.2000851	0.5508513	0.6075270
900	0.6471679	0.0534855	0.5246182	0.5256933	0.5803668	0.2955015	0.4346173	0.2136326	0.6173069	0.5643761
950	0.6135325	0.0635908	0.4064120	0.5038713	0.6708575	0.3713163	0.3887163	0.2584048	0.6094128	0.6259739
