csiR	csiD	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA
0.6314340	0.2574306	0.0822228	0.0590721	0.2906797	0.2178312	0.6334858	0.3320339	0.6150255	0.5831077
0.6547374	0.6194743	0.1418805	0.2868545	0.3007952	0.5773085	0.6602873	0.3795520	0.5205193	0.6867329
0.1871273	0.2011187	0.4509608	0.3646483	0.4846378	0.7552288	0.0000000	0.3590976	0.8077658	0.6896127
0.6878303	0.0025253	0.2179415	0.2831721	0.4183713	0.4198420	0.6784640	0.4029106	0.5411867	0.4079071
0.1051337	0.3984890	0.0936220	0.3906185	0.5939298	0.6833123	0.7293363	0.2610904	0.5032441	0.7522739
0.5368865	0.6406839	0.1102284	0.0669588	0.7044262	0.2346813	0.8240587	0.2713522	0.6850631	0.6273641
0.6263240	0.0007590	0.1142809	0.4672865	0.3978444	0.5517232	0.6798427	0.2437303	0.6527772	0.7572269
0.6284078	0.0010409	0.1644794	0.2956053	0.2584168	0.2455139	0.7876961	0.3794490	0.6622613	0.7877515
0.6158468	0.5114468	0.2735299	0.2749630	0.6639350	0.5906564	0.0589818	0.4023420	0.5967763	0.7735564
0.5630340	0.0053363	0.0825964	0.4584764	0.2837685	0.4117393	0.6253373	0.1725400	0.6917106	0.5977466
0.0000000	0.3011253	0.3455306	0.5297927	0.4576653	0.7042638	0.0537138	0.5241690	0.2969270	0.2779109
0.2679693	0.0008109	0.0644828	0.0220210	0.1903935	0.3585675	0.6764314	0.2687339	0.6545373	0.7922656
0.6284753	0.6379450	0.0000657	0.4003694	0.0001739	0.0042232	0.3186966	0.0089857	0.1592089	0.1947594
0.7238922	0.1746162	0.2180392	0.5251188	0.4361860	0.3780199	0.6405226	0.4714713	0.5539246	0.7178988
0.7339285	0.4371414	0.0000000	0.0957722	0.5325060	0.0000000	0.5896996	0.0000000	0.0000000	0.0000000
0.4545765	0.0231363	0.2744325	0.2563453	0.7134525	0.2107749	0.7092400	0.5161754	0.5823976	0.4956590
0.4213704	0.0009055	0.0373149	0.2000319	0.4304420	0.4833617	0.5588944	0.2204116	0.7760110	0.5219584
0.6154244	0.0030311	0.2515363	0.6366999	0.4043272	0.3467473	0.3833231	0.4270552	0.5713161	0.6827653
0.5048583	0.5603199	0.7362035	0.5358367	0.5633969	0.1739168	0.7647264	0.6155786	0.5878095	0.6782482
0.0000000	0.5667071	0.5602703	0.4574099	0.5270542	0.6914612	0.6278769	0.2687710	0.6267879	0.5231403
0.7682483	0.0007576	0.2434544	0.5763410	0.6892492	0.5530984	0.0000000	0.2511980	0.0938108	0.0000000
0.6382331	0.4806746	0.2331254	0.1574843	0.3233782	0.2296387	0.6831197	0.1739740	0.5911350	0.6855099
0.0832479	0.4863162	0.3328896	0.4045061	0.6165575	0.3028010	0.7753217	0.6723851	0.4238537	0.0000000
0.5754404	0.0062475	0.5611574	0.5261276	0.6195160	0.2553774	0.3835414	0.0000000	0.0000000	0.0000000
0.4555791	0.0872428	0.2380141	0.7645575	0.3765394	0.2534172	0.7062977	0.5131603	0.6147438	0.6511376
0.7645075	0.0011001	0.3254017	0.4239142	0.4255575	0.3398938	0.6095270	0.7216016	0.5032584	0.0000000
0.6668485	0.0112179	0.7154867	0.8166424	0.4772676	0.1618407	0.6045636	0.5518072	0.4906968	0.7269880
0.4313009	0.0718674	0.5449487	0.3963946	0.4546698	0.1916600	0.7452139	0.1975030	0.6360205	0.6966026
0.6476729	0.0105932	0.6082063	0.6207110	0.7031975	0.1849074	0.6306162	0.1843868	0.5891497	0.5173517
0.5389342	0.6297991	0.3778635	0.6620366	0.6565931	0.1771921	0.6346392	0.1960810	0.5865887	0.7041023
0.7071227	0.0056506	0.3101420	0.3836823	0.3319367	0.6590435	0.5940216	0.6958284	0.0104507	0.0000000
0.6629259	0.3939687	0.0319286	0.4369561	0.0355108	0.2851950	0.0000000	0.1052971	0.4684479	0.5506859
0.5800683	0.0097962	0.3797872	0.7412936	0.4223696	0.6056684	0.3212240	0.3566244	0.5820670	0.5400274
0.5742568	0.0022390	0.5141605	0.6846293	0.3822997	0.3820526	0.6714708	0.6037440	0.7888419	0.8205206
0.6769075	0.0001418	0.1250869	0.0483250	0.2016480	0.2016033	0.7126688	0.3427368	0.6552913	0.8454875
0.4504130	0.0936174	0.4229638	0.7257757	0.6511002	0.4356009	0.3320579	0.4602128	0.5677272	0.8365438
0.4697153	0.0029894	0.3612080	0.5267853	0.4062992	0.4792845	0.6773458	0.6912656	0.1520933	0.1577982
0.6910644	0.0049589	0.2773880	0.3830106	0.4019431	0.4236285	0.7092110	0.7459929	0.5889740	0.5313659
0.1795453	0.2909128	0.4272886	0.6589571	0.4529281	0.7771487	0.0000000	0.2613200	0.7235010	0.7519403
0.7218800	0.6528871	0.2451414	0.1732680	0.3025085	0.2270219	0.5753042	0.2490567	0.6436941	0.6356012
0.2949521	0.1493189	0.6227051	0.5360634	0.4602915	0.2778948	0.5273297	0.5929119	0.7897010	0.5642652
0.6923282	0.0687772	0.6560223	0.4035342	0.4793514	0.6992601	0.6520490	0.5747265	0.5411687	0.1357596
0.7507761	0.0011473	0.0970759	0.0724446	0.2610838	0.3808758	0.2037279	0.0694659	0.7739201	0.4371640
0.0000000	0.4298629	0.3109049	0.4765468	0.3926939	0.1698183	0.7362403	0.2269656	0.7020861	0.7845432
0.0924276	0.0004909	0.0754802	0.0215015	0.3581183	0.1542054	0.7447376	0.3238160	0.6649733	0.7406237
0.1879590	0.1648152	0.4299844	0.2553907	0.4098076	0.5203581	0.2457826	0.6265262	0.3553814	0.0000000
0.1328914	0.4057672	0.6562167	0.6642157	0.3613590	0.1706172	0.6040983	0.1856997	0.6380062	0.5947020
0.2279237	0.2348131	0.1788452	0.4576112	0.2076372	0.2510686	0.6866952	0.3075423	0.5780252	0.5272098
0.4364197	0.0603389	0.6161782	0.3802141	0.4201451	0.1426469	0.7303490	0.0976932	0.5110859	0.5638026
0.1802414	0.0112512	0.1191002	0.5649839	0.1651355	0.2465429	0.6908930	0.1949230	0.6425572	0.6574954
0.1586904	0.1492995	0.2723277	0.4113487	0.5550707	0.7600089	0.0000000	0.2668931	0.6976663	0.6968316
0.2121647	0.4550278	0.1713318	0.1415735	0.2884174	0.4356942	0.7244759	0.3738641	0.5662784	0.5715419
0.6776456	0.2054772	0.0000000	0.5634742	0.4658109	0.0014474	0.4377081	0.0000000	0.5299870	0.0000000
0.8550095	0.0232812	0.5294105	0.4648008	0.5415026	0.4242238	0.5310667	0.2604353	0.5919613	0.7213505
0.6611296	0.0186075	0.3992966	0.3509320	0.2935789	0.2141735	0.7064644	0.2409838	0.5602312	0.7027974
0.6186345	0.0123000	0.5500693	0.4630800	0.4802924	0.2392321	0.4605227	0.6818293	0.6498154	0.7099746
0.6717906	0.0048166	0.1957868	0.5668261	0.2689079	0.6626454	0.6582149	0.3102384	0.7824103	0.6486779
0.3246887	0.2771269	0.4223980	0.5073194	0.3719151	0.5724885	0.7875647	0.6217270	0.6342076	0.3696729
0.4255254	0.3797506	0.3077197	0.6010731	0.3621810	0.1784384	0.5871079	0.3764307	0.5450973	0.7464769
0.0000000	0.5894424	0.3445379	0.2544592	0.4582249	0.7443301	0.0000000	0.1622396	0.5047724	0.6506705
0.6275028	0.2381958	0.1383566	0.1760003	0.3141058	0.3707716	0.7836335	0.3253294	0.6288905	0.5648721
0.6161124	0.6583574	0.3525115	0.6074683	0.3278319	0.6735131	0.0000000	0.6407952	0.6322606	0.6622872
0.5779277	0.0007503	0.6828550	0.5316185	0.7407640	0.3149976	0.6804889	0.0807558	0.5578252	0.4812339
0.5651143	0.2072690	0.3334827	0.3262899	0.3785880	0.1875945	0.6410177	0.2635448	0.5528738	0.5606099
0.6941707	0.4414309	0.6126158	0.5444913	0.5091339	0.3303582	0.3455849	0.7046279	0.6845430	0.5565769
0.5917764	0.0038594	0.2050755	0.0647232	0.6168296	0.1743685	0.7366044	0.2153954	0.7190391	0.6964542
0.0000000	0.7142581	0.6876730	0.5678822	0.5166651	0.2992390	0.7654655	0.1361151	0.5411677	0.5365147
0.6142357	0.0014946	0.1503586	0.3277713	0.2813758	0.1827141	0.6915974	0.4041802	0.5271807	0.3476742
0.7753565	0.0022412	0.0003085	0.5561645	0.0019001	0.5346796	0.6432034	0.0125239	0.6543477	0.3297114
0.6875975	0.0022718	0.1155130	0.6111264	0.1749503	0.5674576	0.7858178	0.2706416	0.5927605	0.6775234
0.5166419	0.0266006	0.6831549	0.6453676	0.4553346	0.2166941	0.5749289	0.1924596	0.5642255	0.6480373
0.6141809	0.0000127	0.0132373	0.0071090	0.0082087	0.1259974	0.0000000	0.0756863	0.4584758	0.3281443
0.6214629	0.1590318	0.4472747	0.3176283	0.6772957	0.6342581	0.6596676	0.6597918	0.7469724	0.6468317
0.6972480	0.4110392	0.0372597	0.1265560	0.1880880	0.1944290	0.7657239	0.0737933	0.4865659	0.4659524
0.6486768	0.3095166	0.3664963	0.3104574	0.4688849	0.1512279	0.5594307	0.5534257	0.5474529	0.6620975
0.0714889	0.0000024	0.0058646	0.7750812	0.0092722	0.0090065	0.4879922	0.0111167	0.5795659	0.2274656
0.5610606	0.4644692	0.3708598	0.6014094	0.3682084	0.6958340	0.6344157	0.2959619	0.5458363	0.7985576
0.7191592	0.3614680	0.3752173	0.4101295	0.4544211	0.3126350	0.3862317	0.2825121	0.6634284	0.7573889
0.6436290	0.0011154	0.1458613	0.3082153	0.4913072	0.5397537	0.5635144	0.3019467	0.7781519	0.7718261
0.7701141	0.0119069	0.4338068	0.4680930	0.7765078	0.1605735	0.7230774	0.2170677	0.5611188	0.7127249
0.4842361	0.1206944	0.3641681	0.4816926	0.6286808	0.5544634	0.5236072	0.4230763	0.5344641	0.6476424
0.6817247	0.1687437	0.2899499	0.5793841	0.4327285	0.3167765	0.3810541	0.6387276	0.5986052	0.7386756
0.7004246	0.0073418	0.4271080	0.5284721	0.7311985	0.3036253	0.2905218	0.7377623	0.6604870	0.7808392
0.5826083	0.0185775	0.7171244	0.4443852	0.4526692	0.3502973	0.2781471	0.0780846	0.6461336	0.3322131
0.5723177	0.0054732	0.2672335	0.3670305	0.2818247	0.2678089	0.7918859	0.6795496	0.5767671	0.6041070
0.4386317	0.6135905	0.1018219	0.1668954	0.1719292	0.3082686	0.3054650	0.2159205	0.5867665	0.8077342
0.5619306	0.4687201	0.0657016	0.0632330	0.2769520	0.1990006	0.6504072	0.2469860	0.6372663	0.6742350
0.7569261	0.0594634	0.4307094	0.4411787	0.5018476	0.1663959	0.7056837	0.6936983	0.5639083	0.6777771
0.0000000	0.4766060	0.1257678	0.0430744	0.3863986	0.3717644	0.7194666	0.2895722	0.4864331	0.8199601
0.0000000	0.5004509	0.4813563	0.5574799	0.4750857	0.3409703	0.4215635	0.2852763	0.6550335	0.7887665
0.3658351	0.3190714	0.0946529	0.3256863	0.1522070	0.2745003	0.6392975	0.2704913	0.5856695	0.6556746
0.5723339	0.1963724	0.5149461	0.5284563	0.5606593	0.1905540	0.7999645	0.7004702	0.7516213	0.7207106
0.6721817	0.0003728	0.0979590	0.6603590	0.1236745	0.2646305	0.6006263	0.2406700	0.4252349	0.3145134
0.6974369	0.1675545	0.6205420	0.4423596	0.7238824	0.1747624	0.5623781	0.4993744	0.4551155	0.4120350
0.6834255	0.4698283	0.1643737	0.1275997	0.2939450	0.3282836	0.6417709	0.3321142	0.1840036	0.1242065
0.7036358	0.0128988	0.5148678	0.5902105	0.6054035	0.2392698	0.7069075	0.5353948	0.6752694	0.7266091
0.3288579	0.0022591	0.0824317	0.0114408	0.5336259	0.2238634	0.6665401	0.1540236	0.6377048	0.4466621
0.7613470	0.0033820	0.4665490	0.3464321	0.4991638	0.5575043	0.1408051	0.5550212	0.6071062	0.5727395
0.5558570	0.1394431	0.3839598	0.4263558	0.3539859	0.3105878	0.6755660	0.5966289	0.5849564	0.7199936
0.7861671	0.2873009	0.4079852	0.5634862	0.5091029	0.7791387	0.0000000	0.1040224	0.4643206	0.5375081
0.5539442	0.3956283	0.1536444	0.0345850	0.2448206	0.1395033	0.7943290	0.2430779	0.5172757	0.8812001
0.7139092	0.0060666	0.3925629	0.4154782	0.5048612	0.2030490	0.7510578	0.7394785	0.5053377	0.5794001
0.4043286	0.0004812	0.0177626	0.7471325	0.2698778	0.2432838	0.7536141	0.1012833	0.5929134	0.4126437
0.7311561	0.0056747	0.6943290	0.6490991	0.5278756	0.3147769	0.6734742	0.7314664	0.7594014	0.4401486
0.6832368	0.0084218	0.7328557	0.4655077	0.5840975	0.2870678	0.5183160	0.2618159	0.6634994	0.7453193
0.4318191	0.3702716	0.1886134	0.4152974	0.5450296	0.3690077	0.2085818	0.1541709	0.3303298	0.1001021
0.1472901	0.5413755	0.6123276	0.5095529	0.4795573	0.2378378	0.8228904	0.2247636	0.7761376	0.6845603
0.4736822	0.0236276	0.7637963	0.5684497	0.4105920	0.2332101	0.4628462	0.0539695	0.5647908	0.2623380
0.7049410	0.2199918	0.2023158	0.4267417	0.2708947	0.3706865	0.6197983	0.2189914	0.5042689	0.6926245
0.6883092	0.3024343	0.3240368	0.1871638	0.2868308	0.1716706	0.6258420	0.4001632	0.6470667	0.3580351
0.7234279	0.0534690	0.3745128	0.2810629	0.4352466	0.1712044	0.6983784	0.7363589	0.6612004	0.5485423
0.6945601	0.0060341	0.2009497	0.1572442	0.3878775	0.1933507	0.7731258	0.3712674	0.6817281	0.5925135
0.5713308	0.0022106	0.3199187	0.2484909	0.4653472	0.5481021	0.5546933	0.5742642	0.6286184	0.7393706
0.7832000	0.0477783	0.5699126	0.5145423	0.5088483	0.2258506	0.7592462	0.2416321	0.6777455	0.7319090
0.2930349	0.0329130	0.2078236	0.1735102	0.4130889	0.1926531	0.5097354	0.4832464	0.6574082	0.7124629
0.7599017	0.0055246	0.6050438	0.3703976	0.3959161	0.2611894	0.3425953	0.7361723	0.0000000	0.0000000
0.6322616	0.0002543	0.1754057	0.0350050	0.2360045	0.2665013	0.4261985	0.2164545	0.6162641	0.7192121
0.6826494	0.0001699	0.0800210	0.7368875	0.0969307	0.1512733	0.7737711	0.1728920	0.6107470	0.4511287
0.5276482	0.4936438	0.2877212	0.7456456	0.4125629	0.6164108	0.0000000	0.0000000	0.0012041	0.0000000
0.6125333	0.2148812	0.3028384	0.5457879	0.4550681	0.3918379	0.6728879	0.8134742	0.5690879	0.7779401
0.7215995	0.3684351	0.3159620	0.3121762	0.3848900	0.3846411	0.1513123	0.2428826	0.7060280	0.6114142
0.6110467	0.0011760	0.3138253	0.3708325	0.3899059	0.2869666	0.3597639	0.5107149	0.6283783	0.7720581
0.7252186	0.5472812	0.1173272	0.5358813	0.4894402	0.4139857	0.1625499	0.2887546	0.5601139	0.7240070
0.0801393	0.3502282	0.0006899	0.7019443	0.0173639	0.0022899	0.0000000	0.0006553	0.2073520	0.1534585
0.6514819	0.0070785	0.6164564	0.6157171	0.6412603	0.4279157	0.7524686	0.2211899	0.6263212	0.5720391
0.6685965	0.0006923	0.0063816	0.2787713	0.6431859	0.0796587	0.7314122	0.0469866	0.5109138	0.4217084
0.3576061	0.3202660	0.5772170	0.6499990	0.6822221	0.1571446	0.5933948	0.7351807	0.6985089	0.6516291
0.5902916	0.0052788	0.3258113	0.4534552	0.3854670	0.4251501	0.2639890	0.6043231	0.4698989	0.7450886
0.6830883	0.0003790	0.1685651	0.1162840	0.2706325	0.3325803	0.7371139	0.0005896	0.4228844	0.1030546
0.6518646	0.1372211	0.1023730	0.0451300	0.1850918	0.5427630	0.2470088	0.2763544	0.4342053	0.7459676
0.0000000	0.0598163	0.0308174	0.0009052	0.1572453	0.1285062	0.6067591	0.0768406	0.7151174	0.4670232
0.7170438	0.0048219	0.1256716	0.1041668	0.6402812	0.2400087	0.7953950	0.2924781	0.6324905	0.7003187
0.1071910	0.1837844	0.3851587	0.5284895	0.3700093	0.2526105	0.6781906	0.7259541	0.6847705	0.7646356
0.2621627	0.0320060	0.2875316	0.6641621	0.3167161	0.5894590	0.7833766	0.3751589	0.6620867	0.6410771
0.8744095	0.6782871	0.3788728	0.3478005	0.4004853	0.2318276	0.7706995	0.7022255	0.5126778	0.7655103
0.0000000	0.5205935	0.6380782	0.5968424	0.4076609	0.2534705	0.6094063	0.0601359	0.4541498	0.3477067
0.6973014	0.0007679	0.0650763	0.1139405	0.1244674	0.1607975	0.7581382	0.1815838	0.5422158	0.5171793
0.6415880	0.0008003	0.0528517	0.4881398	0.1572175	0.7722689	0.5911850	0.1836671	0.6081623	0.6938934
0.8374606	0.0049347	0.2319557	0.1764439	0.4779674	0.3923120	0.4235696	0.3180551	0.7736816	0.7276515
0.5801543	0.0635789	0.3353746	0.4921927	0.4700716	0.7621976	0.0000000	0.1896233	0.6415806	0.6503512
0.2203007	0.0025771	0.0418507	0.0664917	0.1046346	0.3005811	0.3628289	0.1158561	0.6806955	0.0000000
0.6136918	0.0789512	0.2555622	0.1497100	0.2774581	0.1930888	0.6707500	0.5602167	0.5247118	0.3896799
0.4839440	0.1097268	0.0662721	0.0533192	0.1862552	0.1171501	0.6512950	0.2741789	0.5703137	0.7383854
0.7533249	0.0001024	0.1825243	0.3057392	0.4493111	0.7779263	0.0000000	0.2693237	0.6667326	0.5957723
0.5244533	0.0225503	0.3733365	0.6217112	0.6574447	0.2658280	0.6534027	0.2912240	0.5273158	0.6907086
0.3578474	0.0057112	0.2107037	0.2064805	0.3483202	0.4866888	0.3678038	0.4629496	0.5740988	0.7335112
0.8423864	0.2944895	0.4052530	0.4111148	0.3941569	0.4500575	0.6484254	0.1707024	0.4400032	0.4618006
0.6207531	0.6746031	0.0011067	0.0000186	0.0363006	0.0073157	0.8690250	0.0150334	0.6264086	0.1258398
0.5708630	0.0024278	0.2400665	0.2604447	0.6022784	0.1923566	0.7995653	0.3953599	0.5793682	0.6459463
0.6772041	0.5417384	0.1434722	0.2196335	0.5305214	0.1885873	0.7812895	0.3662623	0.7899289	0.3378093
0.5958326	0.0001366	0.0759017	0.0434238	0.3874302	0.2608058	0.4340935	0.2876201	0.6235390	0.8123986
0.6816377	0.0119373	0.2837641	0.3179170	0.3898297	0.1734085	0.7867002	0.5362592	0.6822914	0.7935018
0.7326938	0.0169358	0.4885508	0.5107565	0.4605526	0.7317541	0.4402789	0.4505090	0.6382859	0.7454060
0.6439787	0.4132170	0.3703334	0.3566548	0.3030038	0.2540919	0.7090414	0.3341263	0.6960218	0.6447292
0.0000000	0.0172027	0.0919621	0.3809668	0.1719088	0.1395907	0.6934322	0.2717763	0.7583222	0.5785349
0.0000000	0.4326709	0.3940747	0.4073529	0.5994331	0.5753109	0.6224651	0.4966687	0.5190048	0.6898281
0.5609197	0.1647747	0.7927176	0.5782073	0.4925692	0.6802445	0.3721300	0.5863104	0.5110485	0.6425743
0.3945883	0.6304235	0.2276107	0.5220594	0.2256634	0.3925033	0.3986057	0.3786149	0.5823555	0.6616029
0.5794458	0.0063881	0.6292507	0.5644610	0.5703859	0.1754301	0.6246605	0.3859236	0.6656005	0.7293457
0.2819365	0.0720467	0.3314898	0.4509976	0.3200158	0.5841428	0.6758610	0.7632865	0.5614193	0.4500079
0.6238531	0.5116745	0.1856025	0.2164171	0.2725079	0.3132765	0.4009321	0.3234245	0.8099582	0.5552822
0.8520478	0.4090737	0.1334722	0.0780944	0.2993795	0.2261339	0.6902090	0.1961643	0.6618652	0.6359302
0.7818246	0.6180122	0.3038618	0.3636630	0.3661805	0.2736052	0.8225756	0.0022448	0.7349756	0.0251493
0.7021219	0.1732231	0.3251779	0.3353094	0.4375789	0.6824540	0.6011717	0.6376827	0.6390543	0.6691168
0.7031285	0.0079661	0.2017246	0.5139026	0.3386895	0.2195496	0.6875395	0.4590926	0.6227747	0.6908858
0.7181149	0.4091856	0.1451591	0.0609038	0.2669831	0.5007862	0.6887967	0.2796599	0.6275092	0.5681798
0.4527574	0.3371401	0.5674402	0.4102819	0.5233366	0.5241894	0.2050253	0.2341870	0.6171316	0.6147652
0.4616281	0.1888972	0.2152420	0.3652407	0.3236625	0.3456716	0.6528483	0.5505848	0.6803446	0.5810546
0.5791792	0.0164902	0.5329919	0.3899895	0.5307712	0.3785309	0.6608361	0.3967446	0.4685774	0.3584374
0.6224737	0.0043627	0.2019409	0.1271362	0.5420757	0.4180073	0.7823130	0.0735594	0.5307829	0.4924298
0.7345844	0.6316311	0.0334724	0.0073707	0.7395291	0.4462481	0.3424995	0.0509457	0.7011748	0.5157292
0.3745644	0.3123713	0.6825036	0.6873928	0.6040467	0.4101031	0.2032783	0.2449147	0.5583792	0.6757243
0.5900103	0.2882572	0.0000988	0.0005067	0.0015398	0.0026508	0.4221882	0.0000006	0.0451388	0.0588637
